sampleID,site,tree,treeID,Nmin_rate,perc_N_average,perc_C_average,soil_ph,lat,long,lndbh
3_acru_214,3,acru,214,0.453,0.126,3.129,3.65,44.2641765,-86.1780754,2.890371758
3_acru_215,3,acru,215,0.617,0.146,3.61,3.91,44.2641765,-86.1780754,2.890371758
3_acru_216,3,acru,216,0.752,0.14,3.435,3.67,44.2641765,-86.1780754,2.525728644
3_acru_217,3,acru,217,0.578,0.189,4.745,3.63,44.2640971,-86.1779283,2.970414466
3_acru_218,3,acru,218,1.083,0.21,5.072,3.59,44.2641525,-86.1776144,3.113515309
6_acsa_249,6,acsa,249,0.597,0.155,2.1,5.12,44.2199977,-85.6688229,3.817712326
6_acsa_250,6,acsa,250,0.576,0.156,2.147,5.46,44.2196947,-85.6686304,3.871201011
6_acsa_251,6,acsa,251,0.338,0.165,2.331,5.55,44.219453,-85.6686888,3.80666249
6_acsa_252,6,acsa,252,0.489,0.147,2.131,5.61,44.2201899,-85.6676605,4.077537444
6_acsa_253,6,acsa,253,0.329,0.122,1.662,5.56,44.2199852,-85.6687062,3.871201011
7_acsa_254,7,acsa,254,1.012,0.146,2.225,4.3,44.1928781,-85.6778066,3.526360525
7_acsa_255,7,acsa,255,1.299,0.165,2.673,4.31,44.1929649,-85.6773721,3.891820298
7_acsa_256,7,acsa,256,1.142,0.156,2.462,4.29,44.1929649,-85.6773721,3.828641396
7_acsa_257,7,acsa,257,0.862,0.185,2.927,4.57,44.1930947,-85.6773151,3.891820298
7_acsa_258,7,acsa,258,0.896,0.167,2.875,4.5,44.1926552,-85.6772121,3.737669618
7_acru_283,7,acru,283,0.793,0.15,3.138,3.91,44.1923716,-85.6784956,2.772588722
7_acru_284,7,acru,284,1.008,0.168,3.492,3.9,44.1923716,-85.6784956,2.708050201
7_acru_285,7,acru,285,0.364,0.127,2.291,4.21,44.1923716,-85.6784956,2.564949357
7_acru_286,7,acru,286,0.36,0.123,2.172,4.25,44.1923716,-85.6784956,2.63905733
